Dataset,Reduction Method,Parameters,Explained Variance,Number of Components,Classifier,Accuracy,Reduction Time per Sample,Classification Time per Sample
wine,pca+lda,5.0,0.8018684346441246,2,mahalanobis,1.0,0.000026s,0.000052s
wine,pca+lda,0.95,0.9624270003403538,2,knn,1.0,0.000010s,0.000053s
wine,pca+lda,0.95,0.9624270003403538,2,linear,1.0,0.000010s,0.007941s
wine,pca+lda,0.95,0.9624270003403538,2,mahalanobis,1.0,0.000018s,0.000020s
cifar10,none,N/A,N/A,3072,knn,0.3215,N/A,0.000449s
cifar10,none,N/A,N/A,3072,linear,0.3616,N/A,0.004704s
cifar10,none,N/A,N/A,3072,mahalanobis,N/A,N/A,TimeOutError
cifar10,lda,N/A,N/A,9,knn,0.2938,0.000361s,0.000140s
cifar10,lda,N/A,N/A,9,linear,0.3637,0.000364s,0.000061s
cifar10,lda,N/A,N/A,9,mahalanobis,0.2706,0.000374s,0.000194s
cifar10,pca,50.0,0.8429281,50,knn,0.3514,0.000051s,0.000017s
cifar10,pca,50.0,0.8429283,50,linear,0.3745,0.000075s,0.000065s
cifar10,pca,50.0,0.8429232,50,mahalanobis,0.2743,0.000073s,0.003701s
cifar10,pca,100.0,0.90095586,100,knn,0.2899,0.000106s,0.000018s
cifar10,pca,100.0,0.90094674,100,linear,0.3966,0.000080s,0.000078s
cifar10,pca,100.0,0.90093344,100,mahalanobis,N/A,0.000093s,TimeOutError
cifar10,pca,200.0,0.9457451,200,knn,0.2214,0.000110s,0.000030s
cifar10,pca,200.0,0.9457518,200,linear,0.4111,0.000102s,0.000102s
cifar10,pca,200.0,0.9457396,200,mahalanobis,N/A,0.000102s,TimeOutError
cifar10,pca,0.95,0.9502395,217,knn,0.2137,0.000217s,0.000034s
cifar10,pca,0.95,0.9502395,217,linear,0.413,0.000198s,0.000105s
cifar10,pca,0.95,0.9502395,217,mahalanobis,N/A,0.000198s,TimeOutError
cifar10,pca+lda,50.0,0.8429094,9,knn,0.3251,0.000072s,0.000128s
cifar10,pca+lda,50.0,0.84293044,9,linear,0.3747,0.000082s,0.000062s
cifar10,pca+lda,50.0,0.84292895,9,mahalanobis,0.2769,0.000074s,0.000193s
cifar10,pca+lda,100.0,0.90090615,9,knn,0.3384,0.000095s,0.000128s
cifar10,pca+lda,100.0,0.900937,9,linear,0.3987,0.000094s,0.000064s
cifar10,pca+lda,100.0,0.9009482,9,mahalanobis,0.2994,0.000102s,0.000195s
cifar10,pca+lda,200.0,0.9457525,9,knn,0.3376,0.000109s,0.000130s
cifar10,pca+lda,200.0,0.94575053,9,linear,0.4137,0.000105s,0.000064s
cifar10,pca+lda,200.0,0.9457534,9,mahalanobis,0.3028,0.000113s,0.000194s
cifar10,pca+lda,0.95,0.9502395,9,knn,0.3394,0.000218s,0.000129s
cifar10,pca+lda,0.95,0.9502395,9,linear,0.4165,0.000234s,0.000173s
cifar10,pca+lda,0.95,0.9502395,9,mahalanobis,0.2991,0.000215s,0.000192s
cifar10,cnn_features,N/A,N/A,512,knn,0.5128,N/A,0.000093s
cifar10,cnn_features,N/A,N/A,512,linear,0.6056,N/A,0.000532s
cifar10,cnn_features,N/A,N/A,512,mahalanobis,N/A,N/A,TimeOutError
